Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
190,Exit long,2026-03-30 06:00,S2_LX_TP1,4476.989,2.2,9656.2532,193.12,2.00,365.87,3.79,-85.11,-0.88,8063.33,80.63
190,Entry long,2026-03-27 01:00,S2_LE,4389.206,2.2,9656.2532,193.12,2.00,365.87,3.79,-85.11,-0.88,8063.33,80.63
191,Exit long,2026-03-31 10:00,S2_LX_TP1,4594.712,2.2,9910.1662,198.2,2.00,252.74,2.55,-50.01,-0.50,8261.53,82.62
191,Entry long,2026-03-31 07:30,S2_LE,4504.621,2.2,9910.1662,198.2,2.00,252.74,2.55,-50.01,-0.50,8261.53,82.62
192,Exit long,2026-04-02 13:30,S2_SL,4639.917,2.1,9842.2506,-98.42,-1.00,26.41,0.27,-98.42,-1.00,8163.11,81.63
192,Entry long,2026-04-02 11:00,S2_LE,4686.786,2.1,9842.2506,-98.42,-1.00,26.41,0.27,-98.42,-1.00,8163.11,81.63
193,Exit long,2026-04-07 22:00,S2_SL,4609.142,2.1,9776.9721,-97.77,-1.00,81.56,0.83,-97.77,-1.00,8065.33,80.65
193,Entry long,2026-04-07 01:30,S2_LE,4655.701,2.1,9776.9721,-97.77,-1.00,81.56,0.83,-97.77,-1.00,8065.33,80.65
194,Exit long,2026-04-13 06:00,S2_SL,4683.179,2,9537.124,-170.77,-1.79,65.38,0.69,-170.77,-1.79,7894.57,78.95
194,Entry long,2026-04-09 23:00,S2_LE,4768.562,2,9537.124,-170.77,-1.79,65.38,0.69,-170.77,-1.79,7894.57,78.95
195,Exit long,2026-04-15 10:30,S2_LX_TP1,4826.162,2.1,9936.2193,198.72,2.00,293.97,2.96,-66.41,-0.67,8093.29,80.93
195,Entry long,2026-04-13 14:30,S2_LE,4731.533,2.1,9936.2193,198.72,2.00,293.97,2.96,-66.41,-0.67,8093.29,80.93
