Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
149,Exit long,2026-03-21 02:00,LX_SL,4538.951,2.1,9628.0821,-96.28,-1.00,33.25,0.35,-96.28,-1.00,5850.62,58.51
149,Entry long,2026-03-21 00:30,S2_Rev,4584.801,2.1,9628.0821,-96.28,-1.00,33.25,0.35,-96.28,-1.00,5850.62,58.51
150,Exit long,2026-03-23 07:30,LX_SL,4479.215,2.2,9953.8142,-99.54,-1.00,5.06,0.05,-99.54,-1.00,5751.08,57.51
150,Entry long,2026-03-23 06:30,S2_Rev,4524.461,2.2,9953.8142,-99.54,-1.00,5.06,0.05,-99.54,-1.00,5751.08,57.51
151,Exit long,2026-03-23 10:30,LX_SL,4377.28,2.2,9727.2912,-97.28,-1.00,71.46,0.73,-97.28,-1.00,5653.81,56.54
151,Entry long,2026-03-23 09:30,S2_Rev,4421.496,2.2,9727.2912,-97.28,-1.00,71.46,0.73,-97.28,-1.00,5653.81,56.54
152,Exit long,2026-03-23 13:30,LX_SL,4324.839,2.2,9610.7572,-96.11,-1.00,29.2,0.30,-96.11,-1.00,5557.69,55.58
152,Entry long,2026-03-23 12:30,S2_Rev,4368.526,2.2,9610.7572,-96.11,-1.00,29.2,0.30,-96.11,-1.00,5557.69,55.58
153,Exit long,2026-03-23 19:30,LX_TP2,4395.851,2.3,9721.5963,388.86,4.00,543.96,5.60,-18.26,-0.19,5946.56,59.47
153,Entry long,2026-03-23 16:30,S2_Rev,4226.781,2.3,9721.5963,388.86,4.00,543.96,5.60,-18.26,-0.19,5946.56,59.47
154,Exit long,2026-03-27 00:00,LX_SL,4411.014,2.2,9802.2562,-98.03,-1.00,52.7,0.54,-98.03,-1.00,5848.53,58.49
154,Entry long,2026-03-26 15:00,S2_Rev,4455.571,2.2,9802.2562,-98.03,-1.00,52.7,0.54,-98.03,-1.00,5848.53,58.49
155,Exit long,2026-03-30 06:00,LX_TP1,4482.14,2.2,9667.3632,193.34,2.00,354.76,3.67,-96.22,-1.00,6041.87,60.42
155,Entry long,2026-03-27 03:00,S2_Rev,4394.256,2.2,9667.3632,193.34,2.00,354.76,3.67,-96.22,-1.00,6041.87,60.42
156,Exit long,2026-04-02 13:30,LX_SL,4625.777,2.1,9812.2584,-98.13,-1.00,16.94,0.17,-98.13,-1.00,5943.75,59.44
156,Entry long,2026-04-02 13:00,S2_Rev,4672.504,2.1,9812.2584,-98.13,-1.00,16.94,0.17,-98.13,-1.00,5943.75,59.44
157,Exit long,2026-04-08 06:30,LX_TP1,4713.126,2.1,9703.4973,194.07,2.00,276,2.84,-84.78,-0.87,6137.82,61.38
157,Entry long,2026-04-02 15:30,S2_Rev,4620.713,2.1,9703.4973,194.07,2.00,276,2.84,-84.78,-0.87,6137.82,61.38
158,Exit long,2026-04-14 09:00,LX_TP1,4764.578,2.1,9809.4276,196.19,2.00,221.96,2.26,-14.78,-0.15,6334,63.34
158,Entry long,2026-04-13 08:00,S2_Rev,4671.156,2.1,9809.4276,196.19,2.00,221.96,2.26,-14.78,-0.15,6334,63.34
159,Exit long,2026-04-21 22:30,LX_SL,4723.982,2,9543.402,-95.44,-1.00,123.06,1.29,-95.44,-1.00,6238.56,62.39
159,Entry long,2026-04-20 09:00,S2_Rev,4771.701,2,9543.402,-95.44,-1.00,123.06,1.29,-95.44,-1.00,6238.56,62.39
160,Exit long,2026-04-24 12:00,LX_SL,4661.504,2.1,9888.0411,-98.88,-1.00,133.8,1.35,-98.88,-1.00,6139.68,61.40
160,Entry long,2026-04-22 03:00,S2_Rev,4708.591,2.1,9888.0411,-98.88,-1.00,133.8,1.35,-98.88,-1.00,6139.68,61.40
161,Exit long,2026-04-25 04:30,Open,4708.62,2.1,9816.1161,71.99,0.73,138.56,1.41,-16.84,-0.17,6211.67,62.12
161,Entry long,2026-04-24 13:00,S2_Rev,4674.341,2.1,9816.1161,71.99,0.73,138.56,1.41,-16.84,-0.17,6211.67,62.12
