Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
75,Entry long,2020-07-17 06:00,S2_Rev,1796.567,5.5,9881.1185,395.24,4.00,405.86,4.11,-8.07,-0.08,3611.13,36.11
76,Exit long,2020-07-29 08:30,LX_TP1,1961.572,5.1,9807.8661,196.15,2.00,209.2,2.13,-16.64,-0.17,3807.28,38.07
76,Entry long,2020-07-28 16:30,S2_Rev,1923.111,5.1,9807.8661,196.15,2.00,209.2,2.13,-16.64,-0.17,3807.28,38.07
77,Exit long,2020-08-08 01:00,LX_SL,2018.421,4.9,9990.1739,-99.91,-1.00,10.38,0.10,-99.91,-1.00,3707.37,37.07
77,Entry long,2020-08-07 23:00,S2_Rev,2038.811,4.9,9990.1739,-99.91,-1.00,10.38,0.10,-99.91,-1.00,3707.37,37.07
78,Exit long,2020-08-11 14:00,LX_SL,2001.68,4.9,9907.3149,-99.08,-1.00,137.2,1.38,-99.08,-1.00,3608.29,36.08
78,Entry long,2020-08-08 02:00,S2_Rev,2021.901,4.9,9907.3149,-99.08,-1.00,137.2,1.38,-99.08,-1.00,3608.29,36.08
79,Exit long,2020-08-11 19:00,LX_SL,1982.498,4.9,9812.3725,-98.13,-1.00,8.11,0.08,-98.13,-1.00,3510.15,35.10
79,Entry long,2020-08-11 15:30,S2_Rev,2002.525,4.9,9812.3725,-98.13,-1.00,8.11,0.08,-98.13,-1.00,3510.15,35.10
80,Exit long,2020-08-12 09:30,LX_SL,1901.69,5.2,9988.6852,-99.9,-1.00,45.86,0.46,-99.9,-1.00,3410.26,34.10
80,Entry long,2020-08-12 06:30,S2_Rev,1920.901,5.2,9988.6852,-99.9,-1.00,45.86,0.46,-99.9,-1.00,3410.26,34.10
81,Exit long,2020-08-12 16:30,LX_TP1,1919.405,5.3,9973.3863,199.46,2.00,359.22,3.60,-47.47,-0.48,3609.72,36.10
81,Entry long,2020-08-12 13:00,S2_Rev,1881.771,5.3,9973.3863,199.46,2.00,359.22,3.60,-47.47,-0.48,3609.72,36.10
82,Exit long,2020-08-20 02:00,LX_SL,1943.384,5,9815.08,-98.16,-1.00,57.14,0.58,-98.16,-1.00,3511.56,35.12
82,Entry long,2020-08-20 00:00,S2_Rev,1963.016,5,9815.08,-98.16,-1.00,57.14,0.58,-98.16,-1.00,3511.56,35.12
83,Exit long,2020-08-21 19:30,LX_SL,1919.986,5.1,9890.8431,-98.91,-1.00,84.5,0.85,-98.91,-1.00,3412.64,34.13
83,Entry long,2020-08-20 07:00,S2_Rev,1939.381,5.1,9890.8431,-98.91,-1.00,84.5,0.85,-98.91,-1.00,3412.64,34.13
84,Exit long,2020-08-26 20:30,LX_SL,1905.72,5.1,9817.3521,-98.18,-1.00,189.77,1.93,-98.18,-1.00,3314.46,33.14
84,Entry long,2020-08-21 20:30,S2_Rev,1924.971,5.1,9817.3521,-98.18,-1.00,189.77,1.93,-98.18,-1.00,3314.46,33.14
85,Exit long,2020-08-27 03:30,LX_TP1,1949.81,5.2,9940.216,198.8,2.00,222.14,2.23,-10.82,-0.11,3513.26,35.13
85,Entry long,2020-08-26 21:00,S2_Rev,1911.58,5.2,9940.216,198.8,2.00,222.14,2.23,-10.82,-0.11,3513.26,35.13
86,Exit long,2020-09-03 23:00,LX_SL,1923.609,5.1,9909.5091,-99.1,-1.00,40.74,0.41,-99.1,-1.00,3414.16,34.14
86,Entry long,2020-09-02 23:00,S2_Rev,1943.041,5.1,9909.5091,-99.1,-1.00,40.74,0.41,-99.1,-1.00,3414.16,34.14
87,Exit long,2020-09-08 21:30,LX_SL,1906.68,5.1,9822.2991,-98.23,-1.00,78.69,0.80,-98.23,-1.00,3315.92,33.16
87,Entry long,2020-09-05 00:30,S2_Rev,1925.941,5.1,9822.2991,-98.23,-1.00,78.69,0.80,-98.23,-1.00,3315.92,33.16
88,Exit long,2020-09-21 20:00,LX_SL,1925.153,5.1,9917.4651,-99.18,-1.00,79.25,0.80,-99.18,-1.00,3216.74,32.17
88,Entry long,2020-09-17 13:30,S2_Rev,1944.601,5.1,9917.4651,-99.18,-1.00,79.25,0.80,-99.18,-1.00,3216.74,32.17
89,Exit long,2020-09-23 12:00,LX_SL,1887.83,5.2,9915.8852,-99.17,-1.00,68.22,0.69,-99.17,-1.00,3117.57,31.18
89,Entry long,2020-09-22 01:30,S2_Rev,1906.901,5.2,9915.8852,-99.17,-1.00,68.22,0.69,-99.17,-1.00,3117.57,31.18
90,Exit long,2020-09-24 00:00,LX_SL,1862.605,5.3,9971.5313,-99.72,-1.00,72.07,0.72,-99.72,-1.00,3017.85,30.18
90,Entry long,2020-09-23 15:00,S2_Rev,1881.421,5.3,9971.5313,-99.72,-1.00,72.07,0.72,-99.72,-1.00,3017.85,30.18
91,Exit long,2020-10-01 20:30,LX_TP1,1903.728,5.3,9891.9253,197.83,2.00,227.36,2.30,-98.06,-0.99,3215.68,32.16
