Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
50,Exit long,2020-02-04 23:30,S2_SL,1551.176,6.3,9871.1298,-98.72,-1.00,170.44,1.73,-98.72,-1.00,1793.54,17.94
50,Entry long,2020-01-29 07:00,S2_LE,1566.846,6.3,9871.1298,-98.72,-1.00,170.44,1.73,-98.72,-1.00,1793.54,17.94
51,Exit long,2020-02-18 09:00,S2_LX_TP1,1585.845,6.4,9950.4064,199,2.00,206.96,2.08,-47.69,-0.48,1992.54,19.93
51,Entry long,2020-02-05 08:30,S2_LE,1554.751,6.4,9950.4064,199,2.00,206.96,2.08,-47.69,-0.48,1992.54,19.93
52,Exit long,2020-02-20 23:30,S2_LX_TP1,1620.552,6.2,9850.4236,197,2.00,208.89,2.12,-16.6,-0.17,2189.54,21.90
52,Entry long,2020-02-18 16:30,S2_LE,1588.778,6.2,9850.4236,197,2.00,208.89,2.12,-16.6,-0.17,2189.54,21.90
53,Exit long,2020-02-24 21:00,S2_LX_TP1,1673.412,6,9843.606,196.87,2.00,292.17,2.97,-7.21,-0.07,2386.41,23.86
53,Entry long,2020-02-22 01:00,S2_LE,1640.601,6,9843.606,196.87,2.00,292.17,2.97,-7.21,-0.07,2386.41,23.86
54,Exit long,2020-02-25 03:00,S2_SL,1660.012,5.9,9893.0079,-98.94,-1.00,16.2,0.16,-98.94,-1.00,2287.47,22.87
54,Entry long,2020-02-24 23:30,S2_LE,1676.781,5.9,9893.0079,-98.94,-1.00,16.2,0.16,-98.94,-1.00,2287.47,22.87
55,Exit long,2020-02-28 15:00,S2_SL,1623.728,6,9840.786,-98.42,-1.00,121.42,1.23,-98.42,-1.00,2189.05,21.89
55,Entry long,2020-02-26 11:00,S2_LE,1640.131,6,9840.786,-98.42,-1.00,121.42,1.23,-98.42,-1.00,2189.05,21.89
56,Exit long,2020-02-28 23:00,S2_SL,1613.18,6.1,9939.8036,-99.41,-1.00,1.64,0.02,-99.41,-1.00,2089.65,20.90
56,Entry long,2020-02-28 20:00,S2_LE,1629.476,6.1,9939.8036,-99.41,-1.00,1.64,0.02,-99.41,-1.00,2089.65,20.90
57,Exit long,2020-03-04 03:30,S2_LX_TP1,1627.246,6.2,9891.1142,197.81,2.00,334.73,3.38,-71.68,-0.72,2287.46,22.87
57,Entry long,2020-03-02 11:00,S2_LE,1595.341,6.2,9891.1142,197.81,2.00,334.73,3.38,-71.68,-0.72,2287.46,22.87
58,Exit long,2020-03-06 04:30,S2_LX_TP1,1672.644,6,9839.094,196.77,2.00,208.51,2.12,-17.69,-0.18,2484.23,24.84
58,Entry long,2020-03-05 12:30,S2_LE,1639.849,6,9839.094,196.77,2.00,208.51,2.12,-17.69,-0.18,2484.23,24.84
59,Exit long,2020-03-06 23:00,S2_SL,1655.552,5.9,9866.4284,-98.67,-1.00,104.18,1.06,-98.67,-1.00,2385.56,23.86
59,Entry long,2020-03-06 15:30,S2_LE,1672.276,5.9,9866.4284,-98.67,-1.00,104.18,1.06,-98.67,-1.00,2385.56,23.86
60,Exit long,2020-03-09 07:30,S2_LX_TP1,1699.078,6,9994.584,199.88,2.00,214.16,2.14,-22.52,-0.23,2585.44,25.85
60,Entry long,2020-03-07 02:00,S2_LE,1665.764,6,9994.584,199.88,2.00,214.16,2.14,-22.52,-0.23,2585.44,25.85
61,Exit long,2020-03-10 13:00,S2_SL,1660.502,5.9,9895.9284,-98.97,-1.00,19.61,0.20,-98.97,-1.00,2486.47,24.86
61,Entry long,2020-03-10 04:00,S2_LE,1677.276,5.9,9895.9284,-98.97,-1.00,19.61,0.20,-98.97,-1.00,2486.47,24.86
62,Exit long,2020-03-12 03:00,S2_SL,1635.331,6,9911.106,-99.12,-1.00,117.29,1.18,-99.12,-1.00,2387.35,23.87
62,Entry long,2020-03-11 03:30,S2_LE,1651.851,6,9911.106,-99.12,-1.00,117.29,1.18,-99.12,-1.00,2387.35,23.87
63,Exit long,2020-03-13 09:30,S2_SL,1555.101,6.3,9896.1093,-98.97,-1.00,84.82,0.86,-98.97,-1.00,2288.38,22.88
63,Entry long,2020-03-13 04:30,S2_LE,1570.811,6.3,9896.1093,-98.97,-1.00,84.82,0.86,-98.97,-1.00,2288.38,22.88
64,Exit long,2020-03-16 08:00,S2_LX_TP1,1553.363,6.5,9898.889,197.97,2.00,341.73,3.45,-89.17,-0.90,2486.35,24.86
64,Entry long,2020-03-14 01:00,S2_LE,1522.906,6.5,9898.889,197.97,2.00,341.73,3.45,-89.17,-0.90,2486.35,24.86
65,Exit long,2020-03-16 18:30,S2_SL,1506.839,6.5,9926.4815,-132.03,-1.33,8.77,0.09,-153.96,-1.55,2354.32,23.54
65,Entry long,2020-03-16 18:00,S2_LE,1527.151,6.5,9926.4815,-132.03,-1.33,8.77,0.09,-153.96,-1.55,2354.32,23.54
66,Exit long,2020-03-19 20:00,S2_SL,1468.466,6.7,9938.1167,-99.39,-1.00,42.2,0.42,-99.39,-1.00,2254.93,22.55
66,Entry long,2020-03-19 16:00,S2_LE,1483.301,6.7,9938.1167,-99.39,-1.00,42.2,0.42,-99.39,-1.00,2254.93,22.55
67,Exit long,2020-03-20 20:30,S2_SL,1491.266,6.6,9941.7846,-99.43,-1.00,51.28,0.52,-99.43,-1.00,2155.5,21.56
67,Entry long,2020-03-20 18:30,S2_LE,1506.331,6.6,9941.7846,-99.43,-1.00,51.28,0.52,-99.43,-1.00,2155.5,21.56
68,Exit long,2020-03-24 01:30,S2_LX_TP1,1556.05,6.5,9916.0165,198.31,2.00,231.78,2.34,-4.36,-0.04,2353.81,23.54
68,Entry long,2020-03-23 22:30,S2_LE,1525.541,6.5,9916.0165,198.31,2.00,231.78,2.34,-4.36,-0.04,2353.81,23.54
69,Exit long,2020-03-24 20:00,S2_LX_TP1,1597.32,6.3,9865.8063,197.31,2.00,388.7,3.94,-16.64,-0.17,2551.12,25.51
69,Entry long,2020-03-24 14:30,S2_LE,1566.001,6.3,9865.8063,197.31,2.00,388.7,3.94,-16.64,-0.17,2551.12,25.51
70,Exit long,2020-03-25 13:00,S2_SL,1604.591,6.1,9886.8861,-98.88,-1.00,136.02,1.38,-98.88,-1.00,2452.24,24.52
70,Entry long,2020-03-25 00:30,S2_LE,1620.801,6.1,9886.8861,-98.88,-1.00,136.02,1.38,-98.88,-1.00,2452.24,24.52
71,Exit long,2020-04-01 01:00,S2_SL,1593.107,6.2,9977.0462,-99.78,-1.00,225.05,2.26,-99.78,-1.00,2352.45,23.52
71,Entry long,2020-03-25 21:00,S2_LE,1609.201,6.2,9977.0462,-99.78,-1.00,225.05,2.26,-99.78,-1.00,2352.45,23.52
72,Exit long,2020-04-03 03:30,S2_LX_TP1,1617.414,6.3,9989.9163,199.79,2.00,221.12,2.21,-25.21,-0.25,2552.25,25.52
72,Entry long,2020-04-02 10:30,S2_LE,1585.701,6.3,9989.9163,199.79,2.00,221.12,2.21,-25.21,-0.25,2552.25,25.52
