Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
39,Entry long,2019-04-26 08:00,S1_LE,1278.651,7.8,9973.4778,49.86,0.50,63.56,0.64,-37.06,-0.37,319.56,3.20
40,Exit long,2019-05-02 02:30,S1_SL,1273.776,7.8,9985.3884,-49.94,-0.50,55.24,0.55,-49.94,-0.50,269.63,2.70
40,Entry long,2019-04-30 06:30,S1_LE,1280.178,7.8,9985.3884,-49.94,-0.50,55.24,0.55,-49.94,-0.50,269.63,2.70
41,Exit long,2019-05-04 03:30,S1_LX_TP1,1277.847,7.8,9917.6298,49.58,0.50,86.34,0.87,-26.45,-0.27,319.2,3.19
41,Entry long,2019-05-03 00:30,S1_LE,1271.491,7.8,9917.6298,49.58,0.50,86.34,0.87,-26.45,-0.27,319.2,3.19
42,Exit long,2019-05-08 18:00,S1_LX_TP1,1287.977,7.8,9996.2538,49.97,0.50,62.63,0.63,-28.63,-0.29,369.17,3.69
42,Entry long,2019-05-07 01:00,S1_LE,1281.571,7.8,9996.2538,49.97,0.50,62.63,0.63,-28.63,-0.29,369.17,3.69
43,Exit long,2019-05-14 14:30,S1_LX_TP1,1297.799,7.7,9875.1807,117.87,1.19,161,1.63,-23.8,-0.24,487.04,4.87
43,Entry long,2019-05-09 08:30,S1_LE,1282.491,7.7,9875.1807,117.87,1.19,161,1.63,-23.8,-0.24,487.04,4.87
44,Exit long,2019-05-16 20:30,S1_SL,1292.363,7.6,9871.3284,-49.37,-0.50,15.51,0.16,-49.37,-0.50,437.67,4.38
44,Entry long,2019-05-14 20:30,S1_LE,1298.859,7.6,9871.3284,-49.37,-0.50,15.51,0.16,-49.37,-0.50,437.67,4.38
45,Exit long,2019-05-17 21:30,S1_SL,1280.043,7.7,9905.8729,-49.54,-0.50,18.89,0.19,-49.54,-0.50,388.13,3.88
45,Entry long,2019-05-17 13:00,S1_LE,1286.477,7.7,9905.8729,-49.54,-0.50,18.89,0.19,-49.54,-0.50,388.13,3.88
46,Exit long,2019-05-21 21:30,S1_SL,1270.167,7.8,9957.0978,-49.8,-0.50,19.34,0.19,-49.8,-0.50,338.34,3.38
46,Entry long,2019-05-20 20:30,S1_LE,1276.551,7.8,9957.0978,-49.8,-0.50,19.34,0.19,-49.8,-0.50,338.34,3.38
47,Exit long,2019-05-23 21:00,S1_LX_TP1,1280.738,7.8,9940.0704,49.69,0.50,75.13,0.76,-16.91,-0.17,388.02,3.88
47,Entry long,2019-05-22 02:00,S1_LE,1274.368,7.8,9940.0704,49.69,0.50,75.13,0.76,-16.91,-0.17,388.02,3.88
48,Exit long,2019-05-28 20:00,S1_SL,1277.012,7.7,9882.4187,-49.43,-0.50,30.56,0.31,-49.43,-0.50,338.6,3.39
48,Entry long,2019-05-24 21:30,S1_LE,1283.431,7.7,9882.4187,-49.43,-0.50,30.56,0.31,-49.43,-0.50,338.6,3.39
49,Exit long,2019-05-31 00:00,S1_LX_TP1,1285.927,7.8,9980.3418,49.89,0.50,76.2,0.76,-36.9,-0.37,388.48,3.88
49,Entry long,2019-05-29 04:30,S1_LE,1279.531,7.8,9980.3418,49.89,0.50,76.2,0.76,-36.9,-0.37,388.48,3.88
50,Exit long,2019-06-05 16:30,S1_LX_TP1,1332.284,7.5,9942.4275,49.7,0.50,74.05,0.74,-44.68,-0.45,438.19,4.38
50,Entry long,2019-06-04 14:30,S1_LE,1325.657,7.5,9942.4275,49.7,0.50,74.05,0.74,-44.68,-0.45,438.19,4.38
51,Exit long,2019-06-07 01:00,S1_LX_TP1,1339.092,7.5,9993.2325,49.96,0.50,55.42,0.55,-42.23,-0.42,488.14,4.88
51,Entry long,2019-06-06 07:30,S1_LE,1332.431,7.5,9993.2325,49.96,0.50,55.42,0.55,-42.23,-0.42,488.14,4.88
52,Exit long,2019-06-07 21:30,S1_LX_TP1,1342.006,7.4,9881.4494,49.4,0.50,71.85,0.73,-20.21,-0.20,537.54,5.38
