time,open,high,low,close,Basis,Upper,Lower,Basis,Upper,Lower,Fast EMA
2026-04-21T03:30:00+08:00,4816.96,4817.326,4810.055,4814.01,4808.083949999964,4825.797832998082,4790.370067001845,4808.083949999964,4825.797832998082,4790.370067001845,4814.247910345355
2026-04-21T04:00:00+08:00,4813.968,4817.026,4811.65,4815.817,4808.957799999965,4826.38474166216,4791.530858337769,4808.957799999965,4826.38474166216,4791.530858337769,4815.032455172677
2026-04-21T04:30:00+08:00,4815.54,4822.465,4812.47,4822.293,4810.291449999963,4827.51265601171,4793.070243988217,4810.291449999963,4827.51265601171,4793.070243988217,4818.662727586338
2026-04-21T06:00:00+08:00,4822.8,4833.231,4814.634,4828.37,4812.290099999964,4828.104173954492,4796.476026045436,4812.290099999964,4828.104173954492,4796.476026045436,4823.516363793169
2026-04-21T06:30:00+08:00,4828.37,4831.76,4824.72,4827.535,4813.144599999964,4830.260813671109,4796.02838632882,4813.144599999964,4830.260813671109,4796.02838632882,4825.5256818965845
2026-04-21T07:00:00+08:00,4827.66,4831.755,4823.25,4825.22,4814.137599999964,4831.632274391647,4796.64292560828,4814.137599999964,4831.632274391647,4796.64292560828,4825.372840948292
2026-04-21T07:30:00+08:00,4825.21,4825.661,4819.35,4821.28,4815.0358999999635,4832.053789782833,4798.018010217094,4815.0358999999635,4832.053789782833,4798.018010217094,4823.326420474146
2026-04-21T08:00:00+08:00,4821.81,4830.78,4818.89,4819.13,4814.775649999964,4831.370689354814,4798.180610645114,4814.775649999964,4831.370689354814,4798.180610645114,4821.228210237074
2026-04-21T08:30:00+08:00,4820.17,4826.28,4816.13,4823.825,4815.073399999964,4832.088212888809,4798.058587111119,4815.073399999964,4832.088212888809,4798.058587111119,4822.526605118537
2026-04-21T09:00:00+08:00,4823.61,4824.62,4812.59,4818.25,4814.835899999964,4831.531114663492,4798.140685336435,4814.835899999964,4831.531114663492,4798.140685336435,4820.388302559269
2026-04-21T09:30:00+08:00,4818.225,4819.14,4805.25,4810.33,4815.094449999963,4831.336215560341,4798.852684439586,4815.094449999963,4831.336215560341,4798.852684439586,4815.359151279634
2026-04-21T10:00:00+08:00,4810.112,4810.49,4803.09,4807.475,4815.031199999963,4831.380950547773,4798.681449452153,4815.031199999963,4831.380950547773,4798.681449452153,4811.417075639817
2026-04-21T10:30:00+08:00,4807.06,4808.17,4802.01,4806.776,4815.386249999963,4830.659664505907,4800.112835494019,4815.386249999963,4830.659664505907,4800.112835494019,4809.096537819909
2026-04-21T11:00:00+08:00,4806.88,4807.71,4793.335,4798.56,4815.249249999963,4831.06513330417,4799.4333666957555,4815.249249999963,4831.06513330417,4799.4333666957555,4803.828268909954
2026-04-21T11:30:00+08:00,4798.25,4799.93,4792.18,4796.945,4814.822249999963,4832.066201016745,4797.5782989831805,4814.822249999963,4832.066201016745,4797.5782989831805,4800.386634454977
2026-04-21T12:00:00+08:00,4796.81,4797.9,4790.77,4792.07,4813.926499999963,4833.750665882323,4794.102334117603,4813.926499999963,4833.750665882323,4794.102334117603,4796.228317227488
2026-04-21T12:30:00+08:00,4792.157,4794.38,4788.33,4788.95,4813.046499999963,4835.4915999756395,4790.601400024287,4813.046499999963,4835.4915999756395,4790.601400024287,4792.589158613744
2026-04-21T13:00:00+08:00,4788.705,4793.23,4785.54,4787.38,4811.762099999963,4836.840726985925,4786.683473014,4811.762099999963,4836.840726985925,4786.683473014,4789.984579306873
2026-04-21T13:30:00+08:00,4787.385,4797.13,4782.785,4784.03,4810.260049999963,4838.056822922851,4782.463277077074,4810.260049999963,4838.056822922851,4782.463277077074,4787.007289653437
